"Disease","Report Year","DHBName","Case Count","Case rate per 100,000"
"VTEC/STEC infection",2014,"Nelson Marlborough",7,4.9
"Rabies and other lyssaviruses",2014,"Nelson Marlborough",0,0
"Haemophilus influenzae type b",2014,"Nelson Marlborough",0,0
"Hydatid disease",2014,"Canterbury",0,0
"Tetanus",2014,"Canterbury",0,0
"Legionellosis",2014,"Canterbury",40,7.8
"Arboviral diseases",2014,"Canterbury",17,3.3
"Rheumatic fever",2014,"Canterbury",3,0.6
"Campylobacteriosis",2014,"Canterbury",739,143.8
"Malaria",2014,"Canterbury",6,1.2
"Hepatitis B",2014,"Canterbury",8,1.6
"Shigellosis",2014,"Canterbury",6,1.2
"Paratyphoid fever",2014,"Canterbury",3,0.6
"Leprosy",2014,"Canterbury",1,0.2
"Listeriosis",2014,"Canterbury",1,0.2
"Rickettsial disease",2014,"Canterbury",0,0
"Typhoid fever",2014,"Canterbury",2,0.4
"Yersiniosis",2014,"Canterbury",182,35.4
"Leptospirosis",2014,"Canterbury",2,0.4
"Toxic shellfish poisoning",2014,"Canterbury",2,0.4
"Brucellosis",2014,"Canterbury",0,0
"Trichinosis",2014,"Canterbury",0,0
"Cholera",2014,"Canterbury",0,0
"Cysticercosis",2014,"Canterbury",0,0
"Measles",2014,"Canterbury",1,0.2
"Taeniasis",2014,"Canterbury",1,0.2
"Salmonellosis",2014,"Canterbury",146,28.4
"Meningococcal disease",2014,"Canterbury",6,1.2
"Hepatitis C",2014,"Canterbury",6,1.2
"Cryptosporidiosis",2014,"Canterbury",85,16.5
"Hepatitis NOS",2014,"Canterbury",0,0
"Meningoencephalitis - primary amoebic",2014,"Canterbury",0,0
"Tuberculosis disease",2014,"Canterbury",25,4.9
"VTEC/STEC infection",2014,"Canterbury",22,4.3
"Invasive pneumococcal disease",2014,"Canterbury",40,7.8
"Rubella",2014,"Canterbury",0,0
"Acute gastroenteritis",2014,"Canterbury",39,7.6
"Mumps",2014,"Canterbury",5,1
"Pertussis",2014,"Canterbury",107,20.8
"Q fever",2014,"Canterbury",0,0
"Mpox",2014,"Canterbury",0,0
"Diphtheria",2014,"Canterbury",0,0
"Rabies and other lyssaviruses",2014,"Canterbury",0,0
"Hepatitis A",2014,"Canterbury",3,0.6
"Poliomyelitis",2014,"Canterbury",0,0
"Haemophilus influenzae type b",2014,"Canterbury",0,0
"Giardiasis",2014,"Canterbury",184,35.8
"Leprosy",2014,"Southern",0,0
"Leptospirosis",2014,"Southern",5,1.6
"Tetanus",2014,"Southern",0,0
"Paratyphoid fever",2014,"Southern",2,0.6
"Malaria",2014,"Southern",1,0.3
"Shigellosis",2014,"Southern",10,3.2
"Rheumatic fever",2014,"Southern",0,0
"Legionellosis",2014,"Southern",5,1.6
"Trichinosis",2014,"Southern",0,0
"Cryptosporidiosis",2014,"Southern",60,19.4
"Typhoid fever",2014,"Southern",2,0.6
"Brucellosis",2014,"Southern",0,0
"Cysticercosis",2014,"Southern",0,0
"VTEC/STEC infection",2014,"Southern",14,4.5
"Listeriosis",2014,"Southern",3,1
"Cholera",2014,"Southern",0,0
"Hepatitis C",2014,"Southern",5,1.6
"Toxic shellfish poisoning",2014,"Southern",0,0
"Measles",2014,"Southern",0,0
"Arboviral diseases",2014,"Southern",5,1.6
"Meningoencephalitis - primary amoebic",2014,"Southern",0,0
"Mumps",2014,"Southern",0,0
"Poliomyelitis",2014,"Southern",0,0
"Yersiniosis",2014,"Southern",31,10
"Meningococcal disease",2014,"Southern",5,1.6
"Tuberculosis disease",2014,"Southern",2,0.6
"Haemophilus influenzae type b",2014,"Southern",1,0.3
"Campylobacteriosis",2014,"Southern",559,180.6
"Salmonellosis",2014,"Southern",119,38.4
"Acute gastroenteritis",2014,"Southern",8,2.6
"Rickettsial disease",2014,"Southern",0,0
"Rabies and other lyssaviruses",2014,"Southern",0,0
"Pertussis",2014,"Southern",37,12
"Q fever",2014,"Southern",0,0
"Hydatid disease",2014,"Southern",0,0
"Diphtheria",2014,"Southern",0,0
"Hepatitis NOS",2014,"Southern",0,0
"Hepatitis B",2014,"Southern",4,1.3
"Taeniasis",2014,"Southern",0,0
"Invasive pneumococcal disease",2014,"Southern",27,8.7
"Mpox",2014,"Southern",0,0
"Rubella",2014,"Southern",0,0
"Hepatitis A",2014,"Southern",0,0
"Giardiasis",2014,"Southern",90,29.1
"Toxic shellfish poisoning",2014,"South Canterbury",0,0
"Trichinosis",2014,"South Canterbury",0,0
"Malaria",2014,"South Canterbury",0,0
"Leptospirosis",2014,"South Canterbury",0,0
"Brucellosis",2014,"South Canterbury",0,0
"Typhoid fever",2014,"South Canterbury",0,0
"Yersiniosis",2014,"South Canterbury",11,18.9
"Cysticercosis",2014,"South Canterbury",0,0
"Listeriosis",2014,"South Canterbury",0,0
"Leprosy",2014,"South Canterbury",0,0
"Acute gastroenteritis",2014,"South Canterbury",1,1.7
"Salmonellosis",2014,"South Canterbury",16,27.5
"Cholera",2014,"South Canterbury",0,0
"Mumps",2014,"South Canterbury",0,0
"Campylobacteriosis",2014,"South Canterbury",155,266.9
"Arboviral diseases",2014,"South Canterbury",2,3.4
"Meningoencephalitis - primary amoebic",2014,"South Canterbury",0,0
"Tuberculosis disease",2014,"South Canterbury",1,1.7
"Rubella",2014,"South Canterbury",0,0
"Legionellosis",2014,"South Canterbury",1,1.7
"Haemophilus influenzae type b",2014,"South Canterbury",0,0
"Meningococcal disease",2014,"South Canterbury",3,5.2
"Hepatitis C",2014,"South Canterbury",0,0
"Invasive pneumococcal disease",2014,"South Canterbury",4,6.9
"Hepatitis B",2014,"South Canterbury",0,0
"Shigellosis",2014,"South Canterbury",2,3.4
"VTEC/STEC infection",2014,"South Canterbury",7,12.1
"Hepatitis A",2014,"South Canterbury",1,1.7
"Rheumatic fever",2014,"South Canterbury",0,0
"Pertussis",2014,"South Canterbury",4,6.9
"Cryptosporidiosis",2014,"South Canterbury",20,34.4
"Poliomyelitis",2014,"South Canterbury",0,0
"Q fever",2014,"South Canterbury",0,0
"Rabies and other lyssaviruses",2014,"South Canterbury",0,0
"Rickettsial disease",2014,"South Canterbury",0,0
"Diphtheria",2014,"South Canterbury",0,0
"Taeniasis",2014,"South Canterbury",0,0
"Mpox",2014,"South Canterbury",0,0
"Tetanus",2014,"South Canterbury",0,0
"Measles",2014,"South Canterbury",0,0
"Hepatitis NOS",2014,"South Canterbury",0,0
"Hydatid disease",2014,"South Canterbury",0,0
"Paratyphoid fever",2014,"South Canterbury",0,0
"Giardiasis",2014,"South Canterbury",21,36.2
"Trichinosis",2014,"Northland",0,0
"Meningoencephalitis - primary amoebic",2014,"Northland",0,0
"Leptospirosis",2014,"Northland",5,3
"Salmonellosis",2014,"Northland",27,16.3
"Diphtheria",2014,"Northland",0,0
"Rubella",2014,"Northland",0,0
"Acute gastroenteritis",2014,"Northland",2,1.2
"Malaria",2014,"Northland",1,0.6
"Listeriosis",2014,"Northland",1,0.6
"Meningococcal disease",2014,"Northland",3,1.8
"Typhoid fever",2014,"Northland",0,0
"Toxic shellfish poisoning",2014,"Northland",1,0.6
"Brucellosis",2014,"Northland",0,0
"Campylobacteriosis",2014,"Northland",248,149.3
"Hepatitis B",2014,"Northland",1,0.6
"Mumps",2014,"Northland",0,0
"Haemophilus influenzae type b",2014,"Northland",0,0
"Yersiniosis",2014,"Northland",10,6
"Hepatitis A",2014,"Northland",5,3
"Hepatitis NOS",2014,"Northland",0,0
"Cholera",2014,"Northland",0,0
"Shigellosis",2014,"Northland",2,1.2
"Cryptosporidiosis",2014,"Northland",31,18.7
"Tuberculosis disease",2014,"Northland",7,4.2
"Pertussis",2014,"Northland",38,22.9
"Rheumatic fever",2014,"Northland",16,9.6
"Rickettsial disease",2014,"Northland",1,0.6
"Taeniasis",2014,"Northland",0,0
"Q fever",2014,"Northland",0,0
"Invasive pneumococcal disease",2014,"Northland",26,15.7
"Cysticercosis",2014,"Northland",0,0
"Measles",2014,"Northland",6,3.6
"Hydatid disease",2014,"Northland",0,0
"Legionellosis",2014,"Northland",6,3.6
"Hepatitis C",2014,"Northland",5,3
"VTEC/STEC infection",2014,"Northland",11,6.6
"Rabies and other lyssaviruses",2014,"Northland",0,0
"Paratyphoid fever",2014,"Northland",0,0
"Mpox",2014,"Northland",0,0
"Giardiasis",2014,"Northland",57,34.3
"Poliomyelitis",2014,"Northland",0,0
"Tetanus",2014,"Northland",0,0
"Leprosy",2014,"Northland",0,0
"Arboviral diseases",2014,"Northland",4,2.4
"Rubella",2014,"Counties Manukau",1,0.2
"Listeriosis",2014,"Counties Manukau",7,1.4
"Hepatitis B",2014,"Counties Manukau",3,0.6
"Giardiasis",2014,"Counties Manukau",167,32.8
"Shigellosis",2014,"Counties Manukau",33,6.5
"Meningococcal disease",2014,"Counties Manukau",1,0.2
"Meningoencephalitis - primary amoebic",2014,"Counties Manukau",0,0
"Cholera",2014,"Counties Manukau",0,0
"Brucellosis",2014,"Counties Manukau",0,0
"Campylobacteriosis",2014,"Counties Manukau",517,101.5
"Pertussis",2014,"Counties Manukau",160,31.4
"Tuberculosis disease",2014,"Counties Manukau",50,9.8
"Leptospirosis",2014,"Counties Manukau",2,0.4
"Yersiniosis",2014,"Counties Manukau",54,10.6
"Rickettsial disease",2014,"Counties Manukau",1,0.2
"Legionellosis",2014,"Counties Manukau",20,3.9
"Q fever",2014,"Counties Manukau",0,0
"Hepatitis C",2014,"Counties Manukau",0,0
"Cryptosporidiosis",2014,"Counties Manukau",31,6.1
"Hepatitis NOS",2014,"Counties Manukau",1,0.2
"Tetanus",2014,"Counties Manukau",0,0
"Toxic shellfish poisoning",2014,"Counties Manukau",1,0.2
"Typhoid fever",2014,"Counties Manukau",15,2.9
"Malaria",2014,"Counties Manukau",5,1
"Measles",2014,"Counties Manukau",28,5.5
"Haemophilus influenzae type b",2014,"Counties Manukau",1,0.2
"Hepatitis A",2014,"Counties Manukau",18,3.5
"Hydatid disease",2014,"Counties Manukau",2,0.4
"VTEC/STEC infection",2014,"Counties Manukau",16,3.1
"Leprosy",2014,"Counties Manukau",1,0.2
"Mpox",2014,"Counties Manukau",0,0
"Cysticercosis",2014,"Counties Manukau",0,0
"Paratyphoid fever",2014,"Counties Manukau",4,0.8
"Acute gastroenteritis",2014,"Counties Manukau",45,8.8
"Rabies and other lyssaviruses",2014,"Counties Manukau",0,0
"Poliomyelitis",2014,"Counties Manukau",0,0
"Diphtheria",2014,"Counties Manukau",1,0.2
"Invasive pneumococcal disease",2014,"Counties Manukau",69,13.6
"Salmonellosis",2014,"Counties Manukau",82,16.1
"Trichinosis",2014,"Counties Manukau",0,0
"Arboviral diseases",2014,"Counties Manukau",61,12
"Mumps",2014,"Counties Manukau",2,0.4
"Taeniasis",2014,"Counties Manukau",2,0.4
"Rheumatic fever",2014,"Counties Manukau",84,16.5
"Giardiasis",2014,"Waikato",171,44.6
"Yersiniosis",2014,"Waikato",58,15.1
"Listeriosis",2014,"Waikato",0,0
"Rickettsial disease",2014,"Waikato",4,1
"Meningococcal disease",2014,"Waikato",5,1.3
"Hydatid disease",2014,"Waikato",0,0
"Hepatitis B",2014,"Waikato",2,0.5
"Legionellosis",2014,"Waikato",2,0.5
"Rubella",2014,"Waikato",0,0
"Campylobacteriosis",2014,"Waikato",764,199.3
"Pertussis",2014,"Waikato",123,32.1
"Measles",2014,"Waikato",125,32.6
"Haemophilus influenzae type b",2014,"Waikato",0,0
"Cryptosporidiosis",2014,"Waikato",81,21.1
"Typhoid fever",2014,"Waikato",1,0.3
"Cholera",2014,"Waikato",0,0
"Malaria",2014,"Waikato",3,0.8
"Tuberculosis disease",2014,"Waikato",17,4.4
"Shigellosis",2014,"Waikato",8,2.1
"Paratyphoid fever",2014,"Waikato",1,0.3
"Tetanus",2014,"Waikato",0,0
"Rheumatic fever",2014,"Waikato",17,4.4
"Hepatitis A",2014,"Waikato",2,0.5
"Cysticercosis",2014,"Waikato",1,0.3
"Acute gastroenteritis",2014,"Waikato",15,3.9
"Mumps",2014,"Waikato",0,0
"Mpox",2014,"Waikato",0,0
"Hepatitis NOS",2014,"Waikato",0,0
"Invasive pneumococcal disease",2014,"Waikato",43,11.2
"Hepatitis C",2014,"Waikato",0,0
"VTEC/STEC infection",2014,"Waikato",39,10.2
"Rabies and other lyssaviruses",2014,"Waikato",0,0
"Arboviral diseases",2014,"Waikato",14,3.7
"Leprosy",2014,"Waikato",0,0
"Leptospirosis",2014,"Waikato",7,1.8
"Trichinosis",2014,"Waikato",0,0
"Taeniasis",2014,"Waikato",0,0
"Diphtheria",2014,"Waikato",0,0
"Poliomyelitis",2014,"Waikato",0,0
"Brucellosis",2014,"Waikato",0,0
"Meningoencephalitis - primary amoebic",2014,"Waikato",0,0
"Q fever",2014,"Waikato",0,0
"Salmonellosis",2014,"Waikato",58,15.1
"Toxic shellfish poisoning",2014,"Waikato",2,0.5
"Rickettsial disease",2014,"Lakes",0,0
"Cryptosporidiosis",2014,"Lakes",14,13.6
"Measles",2014,"Lakes",9,8.7
"Pertussis",2014,"Lakes",18,17.4
"Hepatitis C",2014,"Lakes",0,0
"Paratyphoid fever",2014,"Lakes",0,0
"Cysticercosis",2014,"Lakes",0,0
"Malaria",2014,"Lakes",1,1
"Rheumatic fever",2014,"Lakes",6,5.8
"Rabies and other lyssaviruses",2014,"Lakes",0,0
"Hepatitis NOS",2014,"Lakes",1,1
"Acute gastroenteritis",2014,"Lakes",13,12.6
"Haemophilus influenzae type b",2014,"Lakes",0,0
"VTEC/STEC infection",2014,"Lakes",6,5.8
"Campylobacteriosis",2014,"Lakes",173,167.4
"Typhoid fever",2014,"Lakes",0,0
"Cholera",2014,"Lakes",0,0
"Leptospirosis",2014,"Lakes",3,2.9
"Listeriosis",2014,"Lakes",0,0
"Legionellosis",2014,"Lakes",1,1
"Leprosy",2014,"Lakes",0,0
"Mumps",2014,"Lakes",0,0
"Hepatitis A",2014,"Lakes",1,1
"Taeniasis",2014,"Lakes",0,0
"Diphtheria",2014,"Lakes",0,0
"Poliomyelitis",2014,"Lakes",0,0
"Meningococcal disease",2014,"Lakes",0,0
"Invasive pneumococcal disease",2014,"Lakes",26,25.2
"Q fever",2014,"Lakes",0,0
"Salmonellosis",2014,"Lakes",18,17.4
"Trichinosis",2014,"Lakes",0,0
"Meningoencephalitis - primary amoebic",2014,"Lakes",0,0
"Arboviral diseases",2014,"Lakes",2,1.9
"Tetanus",2014,"Lakes",0,0
"Giardiasis",2014,"Lakes",77,74.5
"Hydatid disease",2014,"Lakes",0,0
"Rubella",2014,"Lakes",0,0
"Hepatitis B",2014,"Lakes",0,0
"Yersiniosis",2014,"Lakes",26,25.2
"Mpox",2014,"Lakes",0,0
"Shigellosis",2014,"Lakes",2,1.9
"Brucellosis",2014,"Lakes",0,0
"Toxic shellfish poisoning",2014,"Lakes",1,1
"Tuberculosis disease",2014,"Lakes",5,4.8
"Measles",2014,"Tairawhiti",2,4.2
"Hepatitis A",2014,"Tairawhiti",0,0
"Leprosy",2014,"Tairawhiti",0,0
"Cysticercosis",2014,"Tairawhiti",0,0
"Hepatitis C",2014,"Tairawhiti",0,0
"Taeniasis",2014,"Tairawhiti",0,0
"Paratyphoid fever",2014,"Tairawhiti",0,0
"Malaria",2014,"Tairawhiti",0,0
"Leptospirosis",2014,"Tairawhiti",0,0
"Poliomyelitis",2014,"Tairawhiti",0,0
"Acute gastroenteritis",2014,"Tairawhiti",0,0
"Rheumatic fever",2014,"Tairawhiti",10,21.2
"Typhoid fever",2014,"Tairawhiti",2,4.2
"Brucellosis",2014,"Tairawhiti",0,0
"Trichinosis",2014,"Tairawhiti",0,0
"Arboviral diseases",2014,"Tairawhiti",0,0
"Diphtheria",2014,"Tairawhiti",0,0
"Mumps",2014,"Tairawhiti",1,2.1
"Rubella",2014,"Tairawhiti",0,0
"Hepatitis NOS",2014,"Tairawhiti",0,0
"Haemophilus influenzae type b",2014,"Tairawhiti",0,0
"Cholera",2014,"Tairawhiti",0,0
"Meningococcal disease",2014,"Tairawhiti",1,2.1
"Toxic shellfish poisoning",2014,"Tairawhiti",0,0
"VTEC/STEC infection",2014,"Tairawhiti",0,0
"Salmonellosis",2014,"Tairawhiti",9,19.1
"Meningoencephalitis - primary amoebic",2014,"Tairawhiti",0,0
"Cryptosporidiosis",2014,"Tairawhiti",5,10.6
"Pertussis",2014,"Tairawhiti",10,21.2
"Legionellosis",2014,"Tairawhiti",0,0
"Giardiasis",2014,"Tairawhiti",24,51
"Shigellosis",2014,"Tairawhiti",0,0
"Invasive pneumococcal disease",2014,"Tairawhiti",7,14.9
"Hepatitis B",2014,"Tairawhiti",1,2.1
"Yersiniosis",2014,"Tairawhiti",7,14.9
"Hydatid disease",2014,"Tairawhiti",2,4.2
"Listeriosis",2014,"Tairawhiti",0,0
"Mpox",2014,"Tairawhiti",0,0
"Tuberculosis disease",2014,"Tairawhiti",1,2.1
"Rabies and other lyssaviruses",2014,"Tairawhiti",0,0
"Q fever",2014,"Tairawhiti",0,0
"Rickettsial disease",2014,"Tairawhiti",0,0
"Tetanus",2014,"Tairawhiti",0,0
"Campylobacteriosis",2014,"Tairawhiti",73,155.1
"Hepatitis A",2014,"Taranaki",0,0
"Acute gastroenteritis",2014,"Taranaki",5,4.3
"Legionellosis",2014,"Taranaki",1,0.9
"Mumps",2014,"Taranaki",0,0
"Taeniasis",2014,"Taranaki",0,0
"Meningococcal disease",2014,"Taranaki",1,0.9
"Hepatitis NOS",2014,"Taranaki",0,0
"Cholera",2014,"Taranaki",0,0
"Giardiasis",2014,"Taranaki",25,21.7
"Toxic shellfish poisoning",2014,"Taranaki",0,0
"Listeriosis",2014,"Taranaki",0,0
"Rheumatic fever",2014,"Taranaki",0,0
"Diphtheria",2014,"Taranaki",0,0
"Rubella",2014,"Taranaki",0,0
"Paratyphoid fever",2014,"Taranaki",1,0.9
"Tetanus",2014,"Taranaki",0,0
"Haemophilus influenzae type b",2014,"Taranaki",0,0
"Yersiniosis",2014,"Taranaki",9,7.8
"Cryptosporidiosis",2014,"Taranaki",19,16.5
"Invasive pneumococcal disease",2014,"Taranaki",14,12.2
"Poliomyelitis",2014,"Taranaki",0,0
"Hydatid disease",2014,"Taranaki",0,0
"Meningoencephalitis - primary amoebic",2014,"Taranaki",0,0
"Campylobacteriosis",2014,"Taranaki",170,147.8
"Hepatitis B",2014,"Taranaki",0,0
"Salmonellosis",2014,"Taranaki",15,13
"Leptospirosis",2014,"Taranaki",3,2.6
"Arboviral diseases",2014,"Taranaki",4,3.5
"Pertussis",2014,"Taranaki",27,23.5
"Malaria",2014,"Taranaki",1,0.9
"Hepatitis C",2014,"Taranaki",4,3.5
"Q fever",2014,"Taranaki",0,0
"Measles",2014,"Taranaki",4,3.5
"Mpox",2014,"Taranaki",0,0
"Brucellosis",2014,"Taranaki",0,0
"Shigellosis",2014,"Taranaki",3,2.6
"Rickettsial disease",2014,"Taranaki",0,0
"Typhoid fever",2014,"Taranaki",0,0
"Trichinosis",2014,"Taranaki",0,0
"Leprosy",2014,"Taranaki",0,0
"Rabies and other lyssaviruses",2014,"Taranaki",0,0
"VTEC/STEC infection",2014,"Taranaki",7,6.1
"Cysticercosis",2014,"Taranaki",0,0
"Tuberculosis disease",2014,"Taranaki",4,3.5
"Diphtheria",2014,"Hawke's Bay",0,0
"Tetanus",2014,"Hawke's Bay",0,0
"Legionellosis",2014,"Hawke's Bay",1,0.6
"Hepatitis NOS",2014,"Hawke's Bay",1,0.6
"Giardiasis",2014,"Hawke's Bay",91,57.1
"Meningococcal disease",2014,"Hawke's Bay",2,1.3
"Listeriosis",2014,"Hawke's Bay",0,0
"Toxic shellfish poisoning",2014,"Hawke's Bay",0,0
"Salmonellosis",2014,"Hawke's Bay",41,25.7
"Rubella",2014,"Hawke's Bay",0,0
"Paratyphoid fever",2014,"Hawke's Bay",0,0
"Pertussis",2014,"Hawke's Bay",41,25.7
"Q fever",2014,"Hawke's Bay",0,0
"Hydatid disease",2014,"Hawke's Bay",0,0
"Yersiniosis",2014,"Hawke's Bay",17,10.7
"Cysticercosis",2014,"Hawke's Bay",0,0
"Hepatitis B",2014,"Hawke's Bay",2,1.3
"Invasive pneumococcal disease",2014,"Hawke's Bay",16,10
"Shigellosis",2014,"Hawke's Bay",2,1.3
"Campylobacteriosis",2014,"Hawke's Bay",292,183.3
"Acute gastroenteritis",2014,"Hawke's Bay",0,0
"Brucellosis",2014,"Hawke's Bay",0,0
"Leptospirosis",2014,"Hawke's Bay",15,9.4
"Arboviral diseases",2014,"Hawke's Bay",3,1.9
"Rickettsial disease",2014,"Hawke's Bay",0,0
"Measles",2014,"Hawke's Bay",12,7.5
"Mumps",2014,"Hawke's Bay",1,0.6
"Cryptosporidiosis",2014,"Hawke's Bay",25,15.7
"Leprosy",2014,"Hawke's Bay",0,0
"Tuberculosis disease",2014,"Hawke's Bay",4,2.5
"Meningoencephalitis - primary amoebic",2014,"Hawke's Bay",0,0
"VTEC/STEC infection",2014,"Hawke's Bay",2,1.3
"Taeniasis",2014,"Hawke's Bay",0,0
"Rabies and other lyssaviruses",2014,"Hawke's Bay",0,0
"Haemophilus influenzae type b",2014,"Hawke's Bay",0,0
"Trichinosis",2014,"Hawke's Bay",0,0
"Rheumatic fever",2014,"Hawke's Bay",4,2.5
"Typhoid fever",2014,"Hawke's Bay",1,0.6
"Malaria",2014,"Hawke's Bay",0,0
"Hepatitis A",2014,"Hawke's Bay",3,1.9
"Poliomyelitis",2014,"Hawke's Bay",0,0
"Hepatitis C",2014,"Hawke's Bay",2,1.3
"Mpox",2014,"Hawke's Bay",0,0
"Cholera",2014,"Hawke's Bay",0,0
"Legionellosis",2014,"Whanganui",0,0
"Arboviral diseases",2014,"Whanganui",0,0
"Rubella",2014,"Whanganui",0,0
"Paratyphoid fever",2014,"Whanganui",0,0
"Measles",2014,"Whanganui",0,0
"Cryptosporidiosis",2014,"Whanganui",8,12.8
"Hydatid disease",2014,"Whanganui",0,0
"Pertussis",2014,"Whanganui",1,1.6
"Tetanus",2014,"Whanganui",0,0
"Giardiasis",2014,"Whanganui",24,38.5
"Leprosy",2014,"Whanganui",0,0
"Haemophilus influenzae type b",2014,"Whanganui",0,0
"Rabies and other lyssaviruses",2014,"Whanganui",0,0
"Q fever",2014,"Whanganui",0,0
"Hepatitis A",2014,"Whanganui",2,3.2
"Salmonellosis",2014,"Whanganui",9,14.5
"Rickettsial disease",2014,"Whanganui",0,0
"Tuberculosis disease",2014,"Whanganui",2,3.2
"Shigellosis",2014,"Whanganui",0,0
"Listeriosis",2014,"Whanganui",0,0
"Brucellosis",2014,"Whanganui",0,0
"Leptospirosis",2014,"Whanganui",3,4.8
"Mpox",2014,"Whanganui",0,0
"Taeniasis",2014,"Whanganui",0,0
"Cysticercosis",2014,"Whanganui",0,0
"Diphtheria",2014,"Whanganui",0,0
"Hepatitis C",2014,"Whanganui",0,0
"Hepatitis NOS",2014,"Whanganui",0,0
"Typhoid fever",2014,"Whanganui",0,0
"Malaria",2014,"Whanganui",0,0
"Trichinosis",2014,"Whanganui",0,0
"Campylobacteriosis",2014,"Whanganui",88,141.3
"Hepatitis B",2014,"Whanganui",0,0
"Meningoencephalitis - primary amoebic",2014,"Whanganui",0,0
"Cholera",2014,"Whanganui",0,0
"Mumps",2014,"Whanganui",0,0
"Invasive pneumococcal disease",2014,"Whanganui",10,16.1
"Acute gastroenteritis",2014,"Whanganui",22,35.3
"Meningococcal disease",2014,"Whanganui",0,0
"Toxic shellfish poisoning",2014,"Whanganui",0,0
"VTEC/STEC infection",2014,"Whanganui",3,4.8
"Rheumatic fever",2014,"Whanganui",1,1.6
"Yersiniosis",2014,"Whanganui",4,6.4
"Poliomyelitis",2014,"Whanganui",0,0
"Leptospirosis",2014,"MidCentral",4,2.3
"Cysticercosis",2014,"MidCentral",0,0
"Shigellosis",2014,"MidCentral",1,0.6
"Leprosy",2014,"MidCentral",0,0
"Hydatid disease",2014,"MidCentral",0,0
"Trichinosis",2014,"MidCentral",0,0
"Rubella",2014,"MidCentral",0,0
"Brucellosis",2014,"MidCentral",0,0
"Rheumatic fever",2014,"MidCentral",2,1.2
"Rabies and other lyssaviruses",2014,"MidCentral",0,0
"Mpox",2014,"MidCentral",0,0
"Acute gastroenteritis",2014,"MidCentral",143,84
"Measles",2014,"MidCentral",0,0
"Malaria",2014,"MidCentral",0,0
"Campylobacteriosis",2014,"MidCentral",259,152.1
"Listeriosis",2014,"MidCentral",3,1.8
"Typhoid fever",2014,"MidCentral",0,0
"Haemophilus influenzae type b",2014,"MidCentral",0,0
"Mumps",2014,"MidCentral",0,0
"Paratyphoid fever",2014,"MidCentral",1,0.6
"Pertussis",2014,"MidCentral",12,7
"Cholera",2014,"MidCentral",0,0
"Hepatitis C",2014,"MidCentral",0,0
"Rickettsial disease",2014,"MidCentral",0,0
"Legionellosis",2014,"MidCentral",5,2.9
"Salmonellosis",2014,"MidCentral",23,13.5
"Diphtheria",2014,"MidCentral",0,0
"Hepatitis A",2014,"MidCentral",2,1.2
"Hepatitis B",2014,"MidCentral",0,0
"Tetanus",2014,"MidCentral",0,0
"Yersiniosis",2014,"MidCentral",10,5.9
"Poliomyelitis",2014,"MidCentral",0,0
"Arboviral diseases",2014,"MidCentral",1,0.6
"Invasive pneumococcal disease",2014,"MidCentral",20,11.7
"Meningoencephalitis - primary amoebic",2014,"MidCentral",0,0
"Giardiasis",2014,"MidCentral",24,14.1
"Tuberculosis disease",2014,"MidCentral",14,8.2
"Toxic shellfish poisoning",2014,"MidCentral",0,0
"Hepatitis NOS",2014,"MidCentral",0,0
"Q fever",2014,"MidCentral",0,0
"Taeniasis",2014,"MidCentral",0,0
"VTEC/STEC infection",2014,"MidCentral",3,1.8
"Meningococcal disease",2014,"MidCentral",2,1.2
"Cryptosporidiosis",2014,"MidCentral",20,11.7
"Pertussis",2014,"Wairarapa",1,2.3
"Mumps",2014,"Wairarapa",1,2.3
"Salmonellosis",2014,"Wairarapa",9,21.1
"Leptospirosis",2014,"Wairarapa",2,4.7
"Hepatitis A",2014,"Wairarapa",0,0
"Leprosy",2014,"Wairarapa",0,0
"Paratyphoid fever",2014,"Wairarapa",0,0
"Meningoencephalitis - primary amoebic",2014,"Wairarapa",0,0
"Brucellosis",2014,"Wairarapa",0,0
"Trichinosis",2014,"Wairarapa",0,0
"Rabies and other lyssaviruses",2014,"Wairarapa",0,0
"Typhoid fever",2014,"Wairarapa",0,0
"Malaria",2014,"Wairarapa",0,0
"Taeniasis",2014,"Wairarapa",0,0
"Poliomyelitis",2014,"Wairarapa",0,0
"Arboviral diseases",2014,"Wairarapa",1,2.3
"Legionellosis",2014,"Wairarapa",0,0
"Rheumatic fever",2014,"Wairarapa",1,2.3
"Listeriosis",2014,"Wairarapa",0,0
"Rubella",2014,"Wairarapa",0,0
"Acute gastroenteritis",2014,"Wairarapa",4,9.4
"Diphtheria",2014,"Wairarapa",0,0
"Hydatid disease",2014,"Wairarapa",0,0
"Meningococcal disease",2014,"Wairarapa",0,0
"Cholera",2014,"Wairarapa",0,0
"Hepatitis C",2014,"Wairarapa",0,0
"Shigellosis",2014,"Wairarapa",0,0
"Campylobacteriosis",2014,"Wairarapa",61,142.7
"Hepatitis B",2014,"Wairarapa",0,0
"Tetanus",2014,"Wairarapa",0,0
"Giardiasis",2014,"Wairarapa",21,49.1
"Yersiniosis",2014,"Wairarapa",2,4.7
"Hepatitis NOS",2014,"Wairarapa",0,0
"Mpox",2014,"Wairarapa",0,0
"Invasive pneumococcal disease",2014,"Wairarapa",6,14
"Rickettsial disease",2014,"Wairarapa",0,0
"Toxic shellfish poisoning",2014,"Wairarapa",0,0
"Tuberculosis disease",2014,"Wairarapa",2,4.7
"VTEC/STEC infection",2014,"Wairarapa",1,2.3
