"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Malaria",2017,"55–59",2,0.7
"Hydatid disease",2017,"55–59",0,0
"Cholera",2017,"55–59",0,0
"Cysticercosis",2017,"60–64",0,0
"Pertussis",2017,"60–64",71,26.8
"Diphtheria",2017,"60–64",0,0
"Leptospirosis",2017,"60–64",9,3.4
"Yersiniosis",2017,"60–64",45,17
"Measles",2017,"60–64",0,0
"Q fever",2017,"60–64",0,0
"Mumps",2017,"60–64",10,3.8
"Rickettsial disease",2017,"60–64",1,0.4
"Rabies and other lyssaviruses",2017,"60–64",0,0
"Paratyphoid fever",2017,"60–64",0,0
"Poliomyelitis",2017,"60–64",0,0
"Trichinosis",2017,"60–64",0,0
"Shigellosis",2017,"60–64",10,3.8
"Legionellosis",2017,"60–64",37,14
"Brucellosis",2017,"60–64",0,0
"Meningoencephalitis - primary amoebic",2017,"60–64",0,0
"Leprosy",2017,"60–64",0,0
"Meningococcal disease",2017,"60–64",2,0.8
"Hepatitis NOS",2017,"60–64",1,0.4
"Tuberculosis disease",2017,"60–64",21,7.9
"Tetanus",2017,"60–64",0,0
"Cryptosporidiosis",2017,"60–64",23,8.7
"Arboviral diseases",2017,"60–64",7,2.6
"Typhoid fever",2017,"60–64",0,0
"Haemophilus influenzae type b",2017,"60–64",0,0
"Hepatitis C",2017,"60–64",0,0
"Salmonellosis",2017,"60–64",61,23
"Giardiasis",2017,"60–64",80,30.2
"Toxic shellfish poisoning",2017,"60–64",0,0
"VTEC/STEC infection",2017,"60–64",26,9.8
"Rubella",2017,"60–64",0,0
"Malaria",2017,"60–64",1,0.4
"Rheumatic fever",2017,"60–64",0,0
"Acute gastroenteritis",2017,"60–64",12,4.5
"Hydatid disease",2017,"60–64",0,0
"Cholera",2017,"60–64",0,0
"Taeniasis",2017,"60–64",0,0
"Listeriosis",2017,"60–64",3,1.1
"Hepatitis B",2017,"60–64",3,1.1
"Invasive pneumococcal disease",2017,"60–64",53,20
"Campylobacteriosis",2017,"60–64",387,146.2
"Hepatitis A",2017,"60–64",3,1.1
"Mpox",2017,"60–64",0,0
"Pertussis",2017,"65–69",49,20.9
"Leptospirosis",2017,"65–69",11,4.7
"Rabies and other lyssaviruses",2017,"65–69",0,0
"Meningoencephalitis - primary amoebic",2017,"65–69",0,0
"Cysticercosis",2017,"65–69",0,0
"Paratyphoid fever",2017,"65–69",0,0
"Rubella",2017,"65–69",0,0
"Hepatitis NOS",2017,"65–69",0,0
"Yersiniosis",2017,"65–69",57,24.3
"Measles",2017,"65–69",0,0
"Shigellosis",2017,"65–69",12,5.1
"Rheumatic fever",2017,"65–69",0,0
"Q fever",2017,"65–69",0,0
"Brucellosis",2017,"65–69",0,0
"Salmonellosis",2017,"65–69",56,23.8
"Meningococcal disease",2017,"65–69",4,1.7
"Diphtheria",2017,"65–69",0,0
"Mumps",2017,"65–69",1,0.4
"Toxic shellfish poisoning",2017,"65–69",0,0
"Cholera",2017,"65–69",0,0
"Hepatitis C",2017,"65–69",0,0
"Poliomyelitis",2017,"65–69",0,0
"Legionellosis",2017,"65–69",29,12.3
"Leprosy",2017,"65–69",0,0
"Arboviral diseases",2017,"65–69",14,6
"VTEC/STEC infection",2017,"65–69",22,9.4
"Giardiasis",2017,"65–69",65,27.7
"Rickettsial disease",2017,"65–69",1,0.4
"Typhoid fever",2017,"65–69",1,0.4
"Hepatitis B",2017,"65–69",3,1.3
"Tetanus",2017,"65–69",0,0
"Hydatid disease",2017,"65–69",0,0
"Tuberculosis disease",2017,"65–69",18,7.7
"Hepatitis A",2017,"65–69",0,0
"Malaria",2017,"65–69",2,0.9
"Trichinosis",2017,"65–69",0,0
"Acute gastroenteritis",2017,"65–69",12,5.1
"Campylobacteriosis",2017,"65–69",385,163.9
"Taeniasis",2017,"65–69",1,0.4
"Cryptosporidiosis",2017,"65–69",16,6.8
"Mpox",2017,"65–69",0,0
"Listeriosis",2017,"65–69",2,0.9
"Invasive pneumococcal disease",2017,"65–69",50,21.3
"Haemophilus influenzae type b",2017,"65–69",0,0
"Q fever",2017,"70–74",0,0
"Toxic shellfish poisoning",2017,"70–74",0,0
"Yersiniosis",2017,"70–74",25,13.8
"Rabies and other lyssaviruses",2017,"70–74",0,0
"Leptospirosis",2017,"70–74",3,1.7
"Shigellosis",2017,"70–74",9,5
"Measles",2017,"70–74",0,0
"Legionellosis",2017,"70–74",33,18.2
"Pertussis",2017,"70–74",42,23.2
"Brucellosis",2017,"70–74",0,0
"Rubella",2017,"70–74",0,0
"VTEC/STEC infection",2017,"70–74",27,14.9
"Tuberculosis disease",2017,"70–74",8,4.4
"Hydatid disease",2017,"70–74",0,0
"Leprosy",2017,"70–74",0,0
"Arboviral diseases",2017,"70–74",5,2.8
"Salmonellosis",2017,"70–74",39,21.5
"Diphtheria",2017,"70–74",0,0
"Invasive pneumococcal disease",2017,"70–74",60,33.1
"Mpox",2017,"70–74",0,0
"Mumps",2017,"70–74",2,1.1
"Poliomyelitis",2017,"70–74",0,0
"Trichinosis",2017,"70–74",0,0
"Giardiasis",2017,"70–74",25,13.8
"Malaria",2017,"70–74",1,0.6
"Cysticercosis",2017,"70–74",0,0
"Rheumatic fever",2017,"70–74",0,0
"Cryptosporidiosis",2017,"70–74",10,5.5
"Hepatitis C",2017,"70–74",0,0
"Cholera",2017,"70–74",0,0
"Taeniasis",2017,"70–74",0,0
"Meningoencephalitis - primary amoebic",2017,"70–74",0,0
"Listeriosis",2017,"70–74",1,0.6
"Campylobacteriosis",2017,"70–74",290,160.1
"Tetanus",2017,"70–74",0,0
"Meningococcal disease",2017,"70–74",5,2.8
"Acute gastroenteritis",2017,"70–74",5,2.8
"Typhoid fever",2017,"70–74",0,0
"Hepatitis A",2017,"70–74",1,0.6
"Rickettsial disease",2017,"70–74",0,0
"Paratyphoid fever",2017,"70–74",0,0
"Hepatitis B",2017,"70–74",0,0
"Hepatitis NOS",2017,"70–74",0,0
"Haemophilus influenzae type b",2017,"70–74",0,0
"Measles",2017,"75–79",0,0
"Leptospirosis",2017,"75–79",2,1.5
"Pertussis",2017,"75–79",28,20.7
"Q fever",2017,"75–79",0,0
"Arboviral diseases",2017,"75–79",5,3.7
"Toxic shellfish poisoning",2017,"75–79",0,0
"VTEC/STEC infection",2017,"75–79",26,19.2
"Cholera",2017,"75–79",0,0
"Typhoid fever",2017,"75–79",0,0
"Brucellosis",2017,"75–79",1,0.7
"Meningococcal disease",2017,"75–79",3,2.2
"Cysticercosis",2017,"75–79",0,0
"Tetanus",2017,"75–79",0,0
"Rubella",2017,"75–79",0,0
"Diphtheria",2017,"75–79",0,0
"Taeniasis",2017,"75–79",0,0
"Acute gastroenteritis",2017,"75–79",7,5.2
"Rabies and other lyssaviruses",2017,"75–79",0,0
"Trichinosis",2017,"75–79",0,0
"Legionellosis",2017,"75–79",23,17
"Tuberculosis disease",2017,"75–79",17,12.6
"Hydatid disease",2017,"75–79",0,0
"Campylobacteriosis",2017,"75–79",228,168.6
"Salmonellosis",2017,"75–79",16,11.8
"Hepatitis C",2017,"75–79",1,0.7
"Invasive pneumococcal disease",2017,"75–79",42,31.1
"Poliomyelitis",2017,"75–79",0,0
"Rheumatic fever",2017,"75–79",0,0
"Mumps",2017,"75–79",0,0
"Paratyphoid fever",2017,"75–79",0,0
"Listeriosis",2017,"75–79",2,1.5
"Mpox",2017,"75–79",0,0
"Hepatitis A",2017,"75–79",0,0
"Malaria",2017,"75–79",0,0
"Yersiniosis",2017,"75–79",18,13.3
"Hepatitis B",2017,"75–79",0,0
"Cryptosporidiosis",2017,"75–79",7,5.2
"Rickettsial disease",2017,"75–79",0,0
"Meningoencephalitis - primary amoebic",2017,"75–79",0,0
"Haemophilus influenzae type b",2017,"75–79",0,0
"Giardiasis",2017,"75–79",17,12.6
"Shigellosis",2017,"75–79",9,6.7
"Hepatitis NOS",2017,"75–79",0,0
"Leprosy",2017,"75–79",0,0
"Measles",2017,"80–84",0,0
"Q fever",2017,"80–84",0,0
"Toxic shellfish poisoning",2017,"80–84",0,0
"Cholera",2017,"80–84",0,0
"Pertussis",2017,"80–84",12,14
"Leptospirosis",2017,"80–84",1,1.2
"Legionellosis",2017,"80–84",17,19.8
"VTEC/STEC infection",2017,"80–84",10,11.6
"Brucellosis",2017,"80–84",0,0
"Poliomyelitis",2017,"80–84",0,0
"Typhoid fever",2017,"80–84",0,0
"Diphtheria",2017,"80–84",1,1.2
"Taeniasis",2017,"80–84",0,0
"Hydatid disease",2017,"80–84",0,0
"Rubella",2017,"80–84",0,0
"Hepatitis C",2017,"80–84",0,0
"Rheumatic fever",2017,"80–84",0,0
"Tetanus",2017,"80–84",0,0
"Hepatitis B",2017,"80–84",0,0
"Trichinosis",2017,"80–84",0,0
"Arboviral diseases",2017,"80–84",1,1.2
"Meningococcal disease",2017,"80–84",1,1.2
"Tuberculosis disease",2017,"80–84",7,8.1
"Rabies and other lyssaviruses",2017,"80–84",0,0
"Campylobacteriosis",2017,"80–84",136,158.2
"Paratyphoid fever",2017,"80–84",0,0
"Invasive pneumococcal disease",2017,"80–84",31,36.1
"Mpox",2017,"80–84",0,0
"Rickettsial disease",2017,"80–84",0,0
"Mumps",2017,"80–84",0,0
"Yersiniosis",2017,"80–84",19,22.1
"Listeriosis",2017,"80–84",3,3.5
"Cysticercosis",2017,"80–84",0,0
"Cryptosporidiosis",2017,"80–84",2,2.3
"Meningoencephalitis - primary amoebic",2017,"80–84",0,0
"Acute gastroenteritis",2017,"80–84",8,9.3
"Hepatitis A",2017,"80–84",1,1.2
"Malaria",2017,"80–84",0,0
"Salmonellosis",2017,"80–84",12,14
"Hepatitis NOS",2017,"80–84",0,0
"Leprosy",2017,"80–84",0,0
"Giardiasis",2017,"80–84",10,11.6
"Shigellosis",2017,"80–84",1,1.2
"Haemophilus influenzae type b",2017,"80–84",0,0
"Cholera",2017,"85+",0,0
"Poliomyelitis",2017,"85+",0,0
"Toxic shellfish poisoning",2017,"85+",0,0
"Legionellosis",2017,"85+",6,7.1
"Pertussis",2017,"85+",7,8.3
"Leptospirosis",2017,"85+",0,0
"VTEC/STEC infection",2017,"85+",12,14.2
"Q fever",2017,"85+",0,0
"Taeniasis",2017,"85+",0,0
"Hepatitis A",2017,"85+",0,0
"Rubella",2017,"85+",0,0
"Rabies and other lyssaviruses",2017,"85+",0,0
"Arboviral diseases",2017,"85+",0,0
"Hydatid disease",2017,"85+",0,0
"Trichinosis",2017,"85+",0,0
"Rickettsial disease",2017,"85+",0,0
"Typhoid fever",2017,"85+",0,0
"Diphtheria",2017,"85+",0,0
"Tuberculosis disease",2017,"85+",2,2.4
"Mpox",2017,"85+",0,0
"Hepatitis NOS",2017,"85+",0,0
"Haemophilus influenzae type b",2017,"85+",1,1.2
"Brucellosis",2017,"85+",0,0
"Malaria",2017,"85+",0,0
"Acute gastroenteritis",2017,"85+",20,23.6
"Hepatitis C",2017,"85+",0,0
"Mumps",2017,"85+",0,0
"Invasive pneumococcal disease",2017,"85+",41,48.4
"Tetanus",2017,"85+",0,0
"Paratyphoid fever",2017,"85+",0,0
"Cryptosporidiosis",2017,"85+",2,2.4
"Rheumatic fever",2017,"85+",0,0
"Cysticercosis",2017,"85+",0,0
"Hepatitis B",2017,"85+",0,0
"Yersiniosis",2017,"85+",20,23.6
"Measles",2017,"85+",0,0
"Listeriosis",2017,"85+",4,4.7
"Shigellosis",2017,"85+",1,1.2
"Leprosy",2017,"85+",0,0
"Campylobacteriosis",2017,"85+",142,167.6
"Giardiasis",2017,"85+",5,5.9
"Salmonellosis",2017,"85+",11,13
"Meningococcal disease",2017,"85+",2,2.4
"Meningoencephalitis - primary amoebic",2017,"85+",0,0
"Leptospirosis",2017,"5–9",0,0
"Cysticercosis",2017,"5–9",0,0
"Rubella",2017,"5–9",0,0
"VTEC/STEC infection",2017,"5–9",31,9.5
"Rabies and other lyssaviruses",2017,"5–9",0,0
"Campylobacteriosis",2017,"5–9",320,98.1
"Arboviral diseases",2017,"5–9",6,1.8
"Tetanus",2017,"5–9",0,0
"Cholera",2017,"5–9",0,0
"Mpox",2017,"5–9",0,0
"Cryptosporidiosis",2017,"5–9",149,45.7
"Rheumatic fever",2017,"5–9",42,12.9
"Tuberculosis disease",2017,"5–9",3,0.9
"Meningococcal disease",2017,"5–9",5,1.5
"Trichinosis",2017,"5–9",0,0
"Brucellosis",2017,"5–9",0,0
"Q fever",2017,"5–9",0,0
"Invasive pneumococcal disease",2017,"5–9",14,4.3
"Pertussis",2017,"5–9",295,90.4
"Diphtheria",2017,"5–9",0,0
"Toxic shellfish poisoning",2017,"5–9",0,0
"Taeniasis",2017,"5–9",0,0
"Poliomyelitis",2017,"5–9",0,0
"Hydatid disease",2017,"5–9",1,0.3
"Legionellosis",2017,"5–9",1,0.3
"Hepatitis B",2017,"5–9",0,0
"Listeriosis",2017,"5–9",0,0
"Measles",2017,"5–9",1,0.3
"Salmonellosis",2017,"5–9",53,16.2
"Paratyphoid fever",2017,"5–9",1,0.3
"Haemophilus influenzae type b",2017,"5–9",0,0
"Acute gastroenteritis",2017,"5–9",11,3.4
"Mumps",2017,"5–9",106,32.5
"Hepatitis C",2017,"5–9",0,0
"Giardiasis",2017,"5–9",104,31.9
"Hepatitis NOS",2017,"5–9",0,0
"Hepatitis A",2017,"5–9",4,1.2
"Yersiniosis",2017,"5–9",33,10.1
"Malaria",2017,"5–9",2,0.6
"Rickettsial disease",2017,"5–9",0,0
"Meningoencephalitis - primary amoebic",2017,"5–9",0,0
"Leprosy",2017,"5–9",0,0
"Typhoid fever",2017,"5–9",7,2.1
"Shigellosis",2017,"5–9",13,4
"Rabies and other lyssaviruses",2017,"10–14",0,0
"Rubella",2017,"10–14",0,0
"Q fever",2017,"10–14",0,0
"Rheumatic fever",2017,"10–14",47,15.6
"Listeriosis",2017,"10–14",0,0
"Tetanus",2017,"10–14",0,0
"Trichinosis",2017,"10–14",0,0
"Campylobacteriosis",2017,"10–14",243,80.7
"Poliomyelitis",2017,"10–14",0,0
"Taeniasis",2017,"10–14",0,0
"Meningoencephalitis - primary amoebic",2017,"10–14",0,0
"Legionellosis",2017,"10–14",1,0.3
"Brucellosis",2017,"10–14",0,0
"Hepatitis NOS",2017,"10–14",0,0
"Pertussis",2017,"10–14",268,89
"Yersiniosis",2017,"10–14",38,12.6
"Malaria",2017,"10–14",0,0
"Diphtheria",2017,"10–14",0,0
"Tuberculosis disease",2017,"10–14",0,0
"Mpox",2017,"10–14",0,0
"Acute gastroenteritis",2017,"10–14",6,2
"Hepatitis C",2017,"10–14",0,0
"Cholera",2017,"10–14",0,0
"Leptospirosis",2017,"10–14",0,0
"VTEC/STEC infection",2017,"10–14",28,9.3
"Giardiasis",2017,"10–14",47,15.6
"Salmonellosis",2017,"10–14",42,13.9
"Cryptosporidiosis",2017,"10–14",70,23.2
"Invasive pneumococcal disease",2017,"10–14",10,3.3
"Mumps",2017,"10–14",166,55.1
"Haemophilus influenzae type b",2017,"10–14",0,0
"Shigellosis",2017,"10–14",4,1.3
"Hydatid disease",2017,"10–14",0,0
"Typhoid fever",2017,"10–14",5,1.7
"Measles",2017,"10–14",0,0
"Rickettsial disease",2017,"10–14",0,0
"Meningococcal disease",2017,"10–14",3,1
"Arboviral diseases",2017,"10–14",2,0.7
"Paratyphoid fever",2017,"10–14",1,0.3
"Cysticercosis",2017,"10–14",0,0
"Hepatitis B",2017,"10–14",0,0
"Leprosy",2017,"10–14",0,0
"Hepatitis A",2017,"10–14",4,1.3
"Toxic shellfish poisoning",2017,"10–14",0,0
"Legionellosis",2017,"15–19",0,0
"Giardiasis",2017,"15–19",44,13.9
"Haemophilus influenzae type b",2017,"15–19",0,0
"Mpox",2017,"15–19",0,0
"Hydatid disease",2017,"15–19",0,0
"Taeniasis",2017,"15–19",0,0
"Rubella",2017,"15–19",1,0.3
"VTEC/STEC infection",2017,"15–19",23,7.3
"Measles",2017,"15–19",4,1.3
"Hepatitis NOS",2017,"15–19",0,0
"Rabies and other lyssaviruses",2017,"15–19",0,0
"Pertussis",2017,"15–19",202,63.8
"Mumps",2017,"15–19",353,111.5
"Rickettsial disease",2017,"15–19",0,0
"Diphtheria",2017,"15–19",0,0
"Hepatitis A",2017,"15–19",10,3.2
"Acute gastroenteritis",2017,"15–19",14,4.4
"Poliomyelitis",2017,"15–19",0,0
"Rheumatic fever",2017,"15–19",25,7.9
"Q fever",2017,"15–19",0,0
"Arboviral diseases",2017,"15–19",8,2.5
"Leptospirosis",2017,"15–19",2,0.6
"Meningoencephalitis - primary amoebic",2017,"15–19",0,0
"Listeriosis",2017,"15–19",0,0
"Cryptosporidiosis",2017,"15–19",71,22.4
"Tetanus",2017,"15–19",0,0
"Invasive pneumococcal disease",2017,"15–19",8,2.5
"Shigellosis",2017,"15–19",15,4.7
"Tuberculosis disease",2017,"15–19",16,5.1
"Typhoid fever",2017,"15–19",6,1.9
"Hepatitis C",2017,"15–19",1,0.3
"Salmonellosis",2017,"15–19",54,17.1
"Meningococcal disease",2017,"15–19",17,5.4
"Cholera",2017,"15–19",0,0
"Yersiniosis",2017,"15–19",32,10.1
"Paratyphoid fever",2017,"15–19",5,1.6
"Brucellosis",2017,"15–19",0,0
"Toxic shellfish poisoning",2017,"15–19",0,0
"Cysticercosis",2017,"15–19",0,0
"Hepatitis B",2017,"15–19",0,0
"Trichinosis",2017,"15–19",0,0
"Campylobacteriosis",2017,"15–19",380,120
"Malaria",2017,"15–19",4,1.3
"Leprosy",2017,"15–19",0,0
"Q fever",2017,"20–24",0,0
"Paratyphoid fever",2017,"20–24",6,1.7
"Toxic shellfish poisoning",2017,"20–24",1,0.3
"Acute gastroenteritis",2017,"20–24",15,4.2
"Hydatid disease",2017,"20–24",0,0
"Salmonellosis",2017,"20–24",89,25
"Meningococcal disease",2017,"20–24",6,1.7
"VTEC/STEC infection",2017,"20–24",30,8.4
"Cryptosporidiosis",2017,"20–24",112,31.5
"Hepatitis NOS",2017,"20–24",0,0
"Measles",2017,"20–24",4,1.1
"Cholera",2017,"20–24",0,0
"Pertussis",2017,"20–24",70,19.7
"Campylobacteriosis",2017,"20–24",496,139.4
"Rabies and other lyssaviruses",2017,"20–24",0,0
"Invasive pneumococcal disease",2017,"20–24",9,2.5
"Tuberculosis disease",2017,"20–24",33,9.3
"Arboviral diseases",2017,"20–24",12,3.4
"Poliomyelitis",2017,"20–24",0,0
"Legionellosis",2017,"20–24",0,0
"Rubella",2017,"20–24",0,0
"Taeniasis",2017,"20–24",0,0
"Yersiniosis",2017,"20–24",47,13.2
"Hepatitis B",2017,"20–24",1,0.3
"Cysticercosis",2017,"20–24",0,0
"Listeriosis",2017,"20–24",0,0
"Shigellosis",2017,"20–24",17,4.8
"Hepatitis C",2017,"20–24",4,1.1
"Malaria",2017,"20–24",5,1.4
"Mumps",2017,"20–24",316,88.8
"Giardiasis",2017,"20–24",90,25.3
"Brucellosis",2017,"20–24",0,0
"Rheumatic fever",2017,"20–24",19,5.3
"Mpox",2017,"20–24",0,0
"Haemophilus influenzae type b",2017,"20–24",0,0
"Trichinosis",2017,"20–24",0,0
"Hepatitis A",2017,"20–24",6,1.7
"Leptospirosis",2017,"20–24",4,1.1
"Meningoencephalitis - primary amoebic",2017,"20–24",0,0
"Tetanus",2017,"20–24",0,0
"Leprosy",2017,"20–24",0,0
"Rickettsial disease",2017,"20–24",0,0
"Diphtheria",2017,"20–24",0,0
"Typhoid fever",2017,"20–24",4,1.1
"Hepatitis NOS",2017,"25–29",1,0.3
"Brucellosis",2017,"25–29",0,0
"Haemophilus influenzae type b",2017,"25–29",0,0
"Pertussis",2017,"25–29",81,22.4
"Paratyphoid fever",2017,"25–29",7,1.9
"Giardiasis",2017,"25–29",119,32.9
"Leptospirosis",2017,"25–29",14,3.9
"Mumps",2017,"25–29",161,44.5
"Listeriosis",2017,"25–29",0,0
"Campylobacteriosis",2017,"25–29",483,133.5
"Rheumatic fever",2017,"25–29",8,2.2
"Meningoencephalitis - primary amoebic",2017,"25–29",0,0
"Invasive pneumococcal disease",2017,"25–29",11,3
"Tuberculosis disease",2017,"25–29",61,16.9
"Hydatid disease",2017,"25–29",0,0
"Cholera",2017,"25–29",0,0
"Rubella",2017,"25–29",0,0
"Meningococcal disease",2017,"25–29",7,1.9
"Taeniasis",2017,"25–29",1,0.3
"Cryptosporidiosis",2017,"25–29",103,28.5
"Q fever",2017,"25–29",0,0
"Cysticercosis",2017,"25–29",0,0
"Shigellosis",2017,"25–29",28,7.7
"Hepatitis B",2017,"25–29",1,0.3
"Malaria",2017,"25–29",8,2.2
"Acute gastroenteritis",2017,"25–29",18,5
"Tetanus",2017,"25–29",0,0
"Hepatitis A",2017,"25–29",7,1.9
"Typhoid fever",2017,"25–29",10,2.8
"Legionellosis",2017,"25–29",0,0
"Trichinosis",2017,"25–29",0,0
"Leprosy",2017,"25–29",3,0.8
"Mpox",2017,"25–29",0,0
"Rabies and other lyssaviruses",2017,"25–29",0,0
"VTEC/STEC infection",2017,"25–29",29,8
"Toxic shellfish poisoning",2017,"25–29",2,0.6
"Salmonellosis",2017,"25–29",82,22.7
"Rickettsial disease",2017,"25–29",0,0
"Poliomyelitis",2017,"25–29",0,0
"Measles",2017,"25–29",1,0.3
"Arboviral diseases",2017,"25–29",19,5.3
"Yersiniosis",2017,"25–29",70,19.3
"Hepatitis C",2017,"25–29",6,1.7
"Diphtheria",2017,"25–29",0,0
"Hepatitis NOS",2017,"30–34",3,1
"Hepatitis A",2017,"30–34",5,1.6
"Taeniasis",2017,"30–34",1,0.3
"Giardiasis",2017,"30–34",185,58.9
"Shigellosis",2017,"30–34",16,5.1
"Toxic shellfish poisoning",2017,"30–34",0,0
"Pertussis",2017,"30–34",92,29.3
"Malaria",2017,"30–34",8,2.5
"Haemophilus influenzae type b",2017,"30–34",0,0
"Invasive pneumococcal disease",2017,"30–34",12,3.8
"Mumps",2017,"30–34",49,15.6
"Typhoid fever",2017,"30–34",5,1.6
"Rickettsial disease",2017,"30–34",0,0
"Rubella",2017,"30–34",0,0
"Meningococcal disease",2017,"30–34",0,0
"Mpox",2017,"30–34",0,0
"Cryptosporidiosis",2017,"30–34",83,26.4
"Cysticercosis",2017,"30–34",0,0
"Measles",2017,"30–34",0,0
"VTEC/STEC infection",2017,"30–34",24,7.6
"Hepatitis B",2017,"30–34",3,1
"Rabies and other lyssaviruses",2017,"30–34",0,0
"Acute gastroenteritis",2017,"30–34",19,6.1
"Diphtheria",2017,"30–34",0,0
"Leprosy",2017,"30–34",0,0
"Legionellosis",2017,"30–34",4,1.3
"Poliomyelitis",2017,"30–34",0,0
"Salmonellosis",2017,"30–34",59,18.8
"Yersiniosis",2017,"30–34",55,17.5
"Trichinosis",2017,"30–34",0,0
"Q fever",2017,"30–34",0,0
"Leptospirosis",2017,"30–34",13,4.1
"Listeriosis",2017,"30–34",1,0.3
"Cholera",2017,"30–34",0,0
"Paratyphoid fever",2017,"30–34",2,0.6
"Tetanus",2017,"30–34",0,0
"Arboviral diseases",2017,"30–34",17,5.4
"Brucellosis",2017,"30–34",0,0
"Tuberculosis disease",2017,"30–34",37,11.8
"Hepatitis C",2017,"30–34",3,1
"Meningoencephalitis - primary amoebic",2017,"30–34",0,0
"Hydatid disease",2017,"30–34",0,0
"Campylobacteriosis",2017,"30–34",379,120.8
"Rheumatic fever",2017,"30–34",5,1.6
"Meningococcal disease",2017,"35–39",0,0
"Giardiasis",2017,"35–39",186,64.9
"Taeniasis",2017,"35–39",0,0
"Toxic shellfish poisoning",2017,"35–39",1,0.3
"Pertussis",2017,"35–39",108,37.7
"Shigellosis",2017,"35–39",16,5.6
"Diphtheria",2017,"35–39",0,0
"Rickettsial disease",2017,"35–39",1,0.3
"Haemophilus influenzae type b",2017,"35–39",0,0
"Mumps",2017,"35–39",38,13.3
"Rubella",2017,"35–39",0,0
"Trichinosis",2017,"35–39",0,0
"Mpox",2017,"35–39",0,0
"Measles",2017,"35–39",2,0.7
"Leptospirosis",2017,"35–39",10,3.5
"VTEC/STEC infection",2017,"35–39",20,7
"Brucellosis",2017,"35–39",0,0
"Rabies and other lyssaviruses",2017,"35–39",0,0
"Malaria",2017,"35–39",3,1
"Acute gastroenteritis",2017,"35–39",25,8.7
"Listeriosis",2017,"35–39",0,0
"Cysticercosis",2017,"35–39",0,0
"Legionellosis",2017,"35–39",5,1.7
"Poliomyelitis",2017,"35–39",0,0
"Salmonellosis",2017,"35–39",61,21.3
"Hepatitis B",2017,"35–39",1,0.3
"Cryptosporidiosis",2017,"35–39",63,22
"Hepatitis NOS",2017,"35–39",0,0
"Yersiniosis",2017,"35–39",48,16.8
"Hepatitis C",2017,"35–39",1,0.3
"Invasive pneumococcal disease",2017,"35–39",12,4.2
"Paratyphoid fever",2017,"35–39",2,0.7
"Tetanus",2017,"35–39",0,0
"Q fever",2017,"35–39",0,0
"Typhoid fever",2017,"35–39",4,1.4
"Rheumatic fever",2017,"35–39",2,0.7
"Hepatitis A",2017,"35–39",6,2.1
"Campylobacteriosis",2017,"35–39",303,105.8
"Cholera",2017,"35–39",0,0
"Leprosy",2017,"35–39",0,0
"Meningoencephalitis - primary amoebic",2017,"35–39",0,0
"Arboviral diseases",2017,"35–39",21,7.3
"Tuberculosis disease",2017,"35–39",29,10.1
"Hydatid disease",2017,"35–39",0,0
"Pertussis",2017,"40–44",119,40.2
"Rubella",2017,"40–44",0,0
"Salmonellosis",2017,"40–44",46,15.6
"Shigellosis",2017,"40–44",14,4.7
"Cysticercosis",2017,"40–44",0,0
"Measles",2017,"40–44",0,0
"Leptospirosis",2017,"40–44",19,6.4
"Rickettsial disease",2017,"40–44",0,0
"Legionellosis",2017,"40–44",7,2.4
"Giardiasis",2017,"40–44",112,37.9
"Mumps",2017,"40–44",24,8.1
"Rheumatic fever",2017,"40–44",1,0.3
"VTEC/STEC infection",2017,"40–44",9,3
"Meningococcal disease",2017,"40–44",4,1.4
"Meningoencephalitis - primary amoebic",2017,"40–44",0,0
"Hepatitis NOS",2017,"40–44",0,0
"Listeriosis",2017,"40–44",1,0.3
"Rabies and other lyssaviruses",2017,"40–44",0,0
"Toxic shellfish poisoning",2017,"40–44",1,0.3
"Acute gastroenteritis",2017,"40–44",21,7.1
"Hydatid disease",2017,"40–44",0,0
"Trichinosis",2017,"40–44",0,0
"Taeniasis",2017,"40–44",0,0
"Leprosy",2017,"40–44",0,0
"Yersiniosis",2017,"40–44",49,16.6
"Cryptosporidiosis",2017,"40–44",56,18.9
"Brucellosis",2017,"40–44",0,0
"Invasive pneumococcal disease",2017,"40–44",19,6.4
"Tetanus",2017,"40–44",0,0
"Hepatitis B",2017,"40–44",4,1.4
"Campylobacteriosis",2017,"40–44",315,106.5
"Malaria",2017,"40–44",1,0.3
"Poliomyelitis",2017,"40–44",0,0
"Typhoid fever",2017,"40–44",1,0.3
"Hepatitis C",2017,"40–44",1,0.3
"Cholera",2017,"40–44",0,0
"Mpox",2017,"40–44",0,0
"Hepatitis A",2017,"40–44",3,1
"Q fever",2017,"40–44",0,0
"Haemophilus influenzae type b",2017,"40–44",1,0.3
"Paratyphoid fever",2017,"40–44",2,0.7
"Tuberculosis disease",2017,"40–44",16,5.4
"Arboviral diseases",2017,"40–44",15,5.1
"Diphtheria",2017,"40–44",0,0
"VTEC/STEC infection",2018,"0–4",176,57.7
"Rubella",2018,"0–4",1,0.3
"Rabies and other lyssaviruses",2018,"0–4",0,0
"Legionellosis",2018,"0–4",0,0
"Pertussis",2018,"0–4",554,181.6
"Poliomyelitis",2018,"0–4",0,0
"Leptospirosis",2018,"0–4",0,0
"Hepatitis A",2018,"0–4",5,1.6
"Taeniasis",2018,"0–4",0,0
"Tetanus",2018,"0–4",0,0
"Q fever",2018,"0–4",0,0
